[TABLES]
## GDC_METADATA.REL16_FILEDATA_LEGACY
center_name: TEXT | Center name, eg BCM, BI, WUGSC
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
sample_type_id: NUMBER | Accompanying sample type id for the sample type
portion_gdc_id: TEXT | Original/submitter portion ID
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_type: TEXT | Two-digit sample_type code which forms part of the sample barcode eg 01,11,06, etc.
case_gdc_id: TEXT | GDC unique identifier
program_name: TEXT | Program name, eg TCGA or TARGET
analyte_gdc_id: TEXT | Original/submitter analyte ID
sample_barcode: TEXT | Original/submitter sample ID
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
analyte_barcode: TEXT | Original/submitter analyte ID
portion_barcode: TEXT | Original/submitter portion ID

## GDC_METADATA.REL13_SLIDE2CASEIDMAP
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
portion_gdc_id: TEXT | Original/submitter portion ID
portion_barcode: TEXT | Original/submitter portion ID
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
slide_barcode: TEXT | Slide submitter ID
sample_type_id: NUMBER | Type of metadata file, eg mage-tab
program_name: TEXT | Program name, eg TCGA or TARGET
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
sample_type: TEXT | Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.
slide_gdc_id: TEXT | Slide GDC uuid
sample_barcode: TEXT | Original/submitter sample ID
case_gdc_id: TEXT | GDC unique identifier

## GDC_METADATA.REL15_FILEDATA_LEGACY
archive_submitter_id: TEXT | Original archive submitter name, eg  nationwidechildrens.org_BRCA.bio.Level_1.56
platform: TEXT | Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.7
index_file_name: TEXT | Where available, GDC file name for index file
associated_entities__case_gdc_id: TEXT | GDC case uuid for associated case(s)
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
file_name: TEXT | Name of file at the GDC
archive_gdc_id: TEXT | GDC archive UUID
md5sum: TEXT | Md5sum for GDC data file
program_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000178
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
metadata_file_type: TEXT | Type of metadata file, eg mage-tab
metadata_file_id: TEXT | GDC file UUID for metadata (eg mage-tab) file
file_size: NUMBER | The size of the file measured in bytes
index_file_gdc_id: TEXT | Where available, GDC file uuid for index file
index_file_size: NUMBER | Where available, size of the index file in bytes
file_id: TEXT | GDC file identifier. This is a duplicate of file_gdc_id field found in some tables.
center_name: TEXT | Center name, eg BCM, BI, WUGSC
updated_datetime: TEXT | Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00
project_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000183
file_submitter_id: TEXT | Original submitter file id (eg CGHub analysis_id)
program_name: TEXT | Program name, eg TCGA or TARGET
access: TEXT | Data accessibility policy (open or controlled)
created_datetime: TEXT | Timestamp of creation, eg 2016-10-27T21:58:12.297090-05:07
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
center_type: TEXT | One of CGC, GSC, BCR, COM (or null)
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc
center_code: TEXT | TCGA codes for the Professional Organization or Group (Center) which has submitted the data, more info: https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/center-codes
project_disease_type: TEXT | The type of disease studied by the project; eg. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc
associated_entities__entity_type: TEXT | Associated entity type, eg   aliquot   or   case
case_gdc_id: TEXT | GDC unique identifier
file_type: TEXT | File Type  -- eg aligned_reads , simple_somatic_mutation , gene_expression , etc
file_state: TEXT | File state -- either live or submitted
center_short_name: TEXT | Center abbreviation, eg WUSM
associated_entities__entity_submitter_id: TEXT | Submitter id for associated entity(ies)
file_tags: TEXT | Semicolon-delimited list of file tags, eg  coverage  , or  hg19;nocnv  , etc
archive_state: TEXT | Archive state
metadata_file_name: TEXT | Name of GDC metadata file
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba1
project_name: TEXT | Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc
dbName: TEXT | Referring to the default/main database at the GDC. In this table, this field is always legacy.
metadata_file_size: TEXT | Size of metadata file
associated_entities__entity_gdc_id: TEXT | GDC entity uuid for associated entity(ies)
archive_revision: NUMBER | Archive revision number

## GDC_METADATA.GDC_SYNC_OBSOLETE_20190115
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
id: TEXT | File UUID
type: TEXT | Description of the data, e.g. clinical_supplement, aligned_reads
url: TEXT | AWS file location
md5: TEXT | 128-bit hash value expressed as a 32 digit hexadecimal number (in lower case) used as a file's digital fingerprint
version: TEXT | Data version
release: FLOAT | Associated GDC Release Number
state: TEXT | File state -- either submitted or released
size: NUMBER | File size
deletereason: TEXT | Reason for removal from the GDC
file_name: TEXT | Name of file at the GDC
baseid: TEXT | UUID that all versions of the data (in other words, all GUIDs) point to
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.

## GDC_METADATA.REL12_ALIQUOT2CASEIDMAP
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_type: TEXT | Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.
program_name: TEXT | Program name, eg TCGA or TARGET
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
sample_type_id: NUMBER | Accompanying sample type ID for the sample type
portion_gdc_id: TEXT | Original/submitter portion ID
analyte_barcode: TEXT | Original/submitter analyte ID
sample_barcode: TEXT | Original/submitter sample ID
case_gdc_id: TEXT | GDC unique identifier
analyte_gdc_id: TEXT | Original/submitter analyte ID
portion_barcode: TEXT | Original/submitter portion ID
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc

## GDC_METADATA.REL16_SLIDE2CASEIDMAP
slide_barcode: TEXT | Slide submitter id
sample_type: NUMBER | Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.
case_gdc_id: TEXT | GDC unique identifier
portion_gdc_id: TEXT | Original/submitter portion id
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
program_name: TEXT | Program name, eg TCGA or TARGET
sample_type_name: TEXT | The longer name of the sample type; e.g. Primary Tumor, Recurrent Tumor, etc.
sample_barcode: TEXT | Original/submitter sample id
slide_gdc_id: TEXT | Slide GDC uuid
portion_barcode: TEXT | Original/submitter portion id

## GDC_METADATA.REL23_CASEDATA
active_file_count: NUMBER | Total number of files for this case in the active (default) GDC archive
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc
project_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000187
program_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000178
project_disease_type: TEXT | The type of disease studied by the project; e.g. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc
case_gdc_id: TEXT | GDC unique identifier
legacy_file_count: NUMBER | Total number of files for this case in the GDC legacy archive
project_name: TEXT | Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
program_name: TEXT | Program name, eg TCGA or TARGET

## GDC_METADATA.REL21_SLIDE2CASEIDMAP
slide_gdc_id: TEXT | Slide GDC uuid
sample_barcode: TEXT | Original/submitter sample ID
portion_barcode: TEXT | Original/submitter portion ID
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
case_gdc_id: TEXT | GDC unique identifier
slide_barcode: TEXT | Slide submitter ID
portion_gdc_id: TEXT | Original/submitter portion ID
program_name: TEXT | Program name, eg TCGA or TARGET
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc.
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
sample_type: NUMBER | Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal

## GDC_METADATA.REL18_SLIDE2CASEIDMAP
program_name: TEXT | Program name, eg TCGA or TARGET
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
portion_gdc_id: TEXT | Original/submitter portion ID
sample_barcode: TEXT | Original/submitter sample ID
sample_type: NUMBER | Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.
portion_barcode: TEXT | Original/submitter portion ID
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc.
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
slide_gdc_id: TEXT | Slide GDC uuid
slide_barcode: TEXT | Slide submitter ID
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | GDC unique identifier

## GDC_METADATA.REL18_FILEDATA_LEGACY
metadata_file_type: TEXT | Type of metadata file, eg mage-tab
project_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000189
index_file_size: NUMBER | Where available, size of the index file in bytes
dbName: TEXT | Referring to the default/main database at the GDC. In this table, this field is always legacy.
program_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000178
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
file_tags: TEXT | Semicolon-delimited list of file tags, eg  coverage  , or  hg19;nocnv  , etc
file_name: TEXT | Name of file at the GDC
file_type: TEXT | File Type  -- eg aligned_reads, simple_somatic_mutation, gene_expression, etc
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
archive_gdc_id: TEXT | GDC archive UUID
program_name: TEXT | Program name, eg TCGA or TARGET
file_size: NUMBER | The size of the file measured in bytes
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
archive_state: TEXT | Archive state
updated_datetime: TEXT | Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00
access: TEXT | Data accessibility policy (open or controlled)
archive_submitter_id: TEXT | Original archive sumbitter name, eg  nationwidechildrens.org_BRCA.bio.Level_1.56
platform: TEXT | Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.11
project_disease_type: TEXT | The type of disease studied by the project; e.g. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc
center_code: TEXT | TCGA codes for the Professional Organization or Group (Center) which has submitted the data, more info: https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/center-codes
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc
metadata_file_id: TEXT | GDC file UUID for metadata (eg mage-tab) file
associated_entities__entity_type: TEXT | Associated entity type, eg   aliquot   or   case
archive_revision: NUMBER | Archive revision number
case_gdc_id: TEXT | GDC unique identifier
file_state: TEXT | File state -- either live or submitted
project_name: TEXT | Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc
file_submitter_id: TEXT | Original submitter file ID (eg CGHub analysis_id)
associated_entities__entity_submitter_id: TEXT | Submitter id for associated entity(ies)
file_id: TEXT | GDC file identifier. This is a duplicate of file_gdc_id field found in some tables.
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
associated_entities__entity_gdc_id: TEXT | GDC entity uuid for associated entity(ies)
metadata_file_size: TEXT | Size of metadata file
index_file_gdc_id: TEXT | Where available, GDC file uuid for index file
center_name: TEXT | Center name, eg BCM, BI, WUGSC
md5sum: TEXT | Md5sum for GDC data file
index_file_name: TEXT | Where available, GDC file name for index file
associated_entities__case_gdc_id: TEXT | GDC case uuid for associated case(s)
created_datetime: TEXT | Timestamp of creation, eg 2016-10-27T21:58:12.297090-05:11
center_type: TEXT | One of CGC, GSC, BCR, COM (or null)
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba5
metadata_file_name: TEXT | Name of GDC metadata file
center_short_name: TEXT | Center abbreviation, eg WUSM

## GDC_METADATA.REL23_ALIQUOT2CASEIDMAP
sample_barcode: TEXT | Original/submitter sample ID
sample_preservation_method: TEXT | Sample Preservation Method, usually null or  FFPE, also Snap Frozen or Frozen
case_gdc_id: TEXT | GDC unique identifier
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
analyte_barcode: TEXT | Original/submitter analyte ID
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
analyte_gdc_id: TEXT | Analyte GDC ID
sample_type: TEXT | Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.
sample_is_ffpe: TEXT | Whether a smaple is FFPE, either  False,  None ,  True, or null
portion_gdc_id: TEXT | Portion GDC ID
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc.
portion_barcode: TEXT | Original/submitter portion ID
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
program_name: TEXT | Program name, eg TCGA or TARGET

## GDC_METADATA.REL21_GDCFILEID_TO_GCSURL
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba1
file_gdc_url: TEXT | GDC file location

## GDC_METADATA.REL19_SLIDE2CASEIDMAP
program_name: TEXT | Program name, eg TCGA or TARGET
slide_gdc_id: TEXT | Slide GDC uuid
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
portion_barcode: TEXT | Original/submitter portion ID
slide_barcode: TEXT | Slide submitter ID
case_gdc_id: TEXT | GDC unique identifier
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc.
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc
sample_type: NUMBER | Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.
portion_gdc_id: TEXT | Original/submitter portion ID
sample_barcode: TEXT | Original/submitter sample ID

## GDC_METADATA.GDC_SYNC_LEGACY_20190115
type: TEXT | Description of the data, e.g. clinical_supplement, aligned_reads
version: TEXT | Data version
baseid: TEXT | UUID that all versions of the data (in other words, all GUIDs) point to
url: TEXT | AWS file location
md5: TEXT | 128-bit hash value expressed as a 32 digit hexadecimal number (in lower case) used as a file's digital fingerprint
id: TEXT | File UUID
release: FLOAT | Associated GDC Release Number
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
deletereason: TEXT | Reason for removal from the GDC
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
state: TEXT | File state -- either submitted or released
file_name: TEXT | Name of file at the GDC
size: NUMBER | File size

## GDC_METADATA.REL12_FILEDATA_LEGACY
archive__revision: NUMBER | Archive revision number
cases__project__dbgap_accession_number: TEXT | DbGaP accession number for the project
metadata_files__type: TEXT | Type of metadata file, eg mage-tab
associated_entities__case_id: TEXT | Associated Case ID
cases__case_id: TEXT | Associated entity case UUID
file_name: TEXT | Name of file at the GDC
cases__project__disease_type: TEXT | Project Disease Type
metadata_files__file_size: TEXT | Size of metadata file
associated_entities__entity_id: TEXT | Associated entity UUID
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc
state: TEXT | File state -- either submitted or released
dbName: TEXT | Referring to the default/main database at the GDC. In this table, this field is always legacy.
metadata_files__file_name: TEXT | Name of GDC metadata file
type: TEXT | Description of the data, e.g. clinical_supplement, aligned_reads
center__center_type: TEXT | Type classification of the center
md5sum: TEXT | Md5sum for GDC data file
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
cases__project__program__name: TEXT | Program Name
tags: TEXT | Semicolon-delimited list of file tags, eg.  coverage, or  hg19; nocnv , etc.
cases__project__project_id: TEXT | Program Short Name with Project Short Name
associated_entities__entity_type: TEXT | Associated entity type, eg   aliquot   or   case
cases__project__name: TEXT | Study name of the project
submitter_id: TEXT | This can be used to identify a corresponding entry in the submitter's records. The GDC requires that submitter_id be unique for each entity within a project: the tuple (combination) of [ project_id, submitter_id ] is a unique key.
created_datetime: TEXT | Timestamp of creation, eg 2016-10-27T21:58:12.297090-05:01
index_files__file_size: NUMBER | BAM  or VCF index file size
index_files__file_name: TEXT | BAM or VCF index file name
updated_datetime: TEXT | Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00
platform: TEXT | Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.1
archive__state: TEXT | Archive state
center__name: TEXT | Center name, eg BCM, BI, WUGSC
metadata_files__file_id: TEXT | GDC file UUID for metadata (eg mage-tab) file
index_files__file_id: TEXT | BAM or VCF index file GDC file UUID
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
file_size: NUMBER | The size of the file measured in bytes
center__code: NUMBER | TCGA codes for the Professional Organization or Group (Center) which has submitted the data, more info: https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/center-codes
archive__submitter_id: TEXT | Original archive submitter name, eg  nationwidechildrens.org_BRCA.bio.Level_1.56
access: TEXT | Data accessibility policy (open or controlled)
file_id: TEXT | GDC file identifier. This is a duplicate of file_gdc_id field found in some tables.
cases__project__program__dbgap_accession_number: TEXT | DbGaP accession number for the program
data_type: TEXT | File format of the underlying data, eg BCR XML, BAM
archive__archive_id: TEXT | GDC archive UUID
center__short_name: TEXT | Center abbreviation, eg WUSM
associated_entities__entity_submitter_id: TEXT | Submitter id for associated entity(ies)
id: TEXT | GDC file identifier. This is a duplicate of file_gdc_id field found in some tables.

## GDC_METADATA.REL16_CASEDATA
case_gdc_id: TEXT | GDC unique identifier
project_name: TEXT | Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc
project_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000184
active_file_count: NUMBER | Total number of files for this case in the active (default) GDC archive
program_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000178
project_id: TEXT | ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.
legacy_file_count: NUMBER | Total number of files for this case in the GDC legacy archive
project_disease_type: TEXT | The type of disease studied by the project; eg. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc
program_name: TEXT | Program name, eg TCGA or TARGET
case_barcode: TEXT | Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc

## GDC_METADATA.REL19_FILEDATA_ACTIVE
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
analysis_input_file_gdc_ids: TEXT | GDC file UUIDs for input file(s)
index_file_size: NUMBER | Where available, size of the index file in bytes
project_disease_type: TEXT | The type of disease studied by the project; eg. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc
project_name: TEXT | Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc
associated_entities__case_gdc_id: TEXT | GDC case uuid for associated case(s)
file_size: NUMBER | The size of the file measured in bytes
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
associated_entities__entity_gdc_id: TEXT | GDC entity uuid for associated entity(ies)
archive_submitter_id: TEXT | Original archive submitter name, eg  nationwidechildrens.org_BRCA.bio.Level_1.56
downstream_analyses__workflow_link: TEXT | Name of GDC workflow, eg VarScan2 Annotation (if applicable, NULL where no information is available)
index_file_name: TEXT | Where available, GDC file name for index file
program_name: TEXT | Program name, eg TCGA or TARGET
project_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000188
archive_state: TEXT | Archive state
archive_gdc_id: TEXT | GDC archive UUID
updated_datetime: TEXT | Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
downstream_analyses__output_file_gdc_ids: TEXT | Semicolon-separated list of GDC file UUIDs
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc
case_gdc_id: TEXT | GDC unique identifier
file_name: TEXT | Name of file at the GDC
md5sum: TEXT | Md5sum for GDC data file
file_id: TEXT | GDC file identifier. This is a duplicate of file_gdc_id field found in some tables.
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
file_submitter_id: TEXT | Original submitter file id (eg CGHub analysis_id)
access: TEXT | Data accessibility policy (open or controlled)
platform: TEXT | Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.10
dbName: TEXT | Referring to the default/main database at the GDC. In this table, this field is always current.
associated_entities__entity_type: TEXT | Associated entity type, eg   aliquot   or   case
analysis_workflow_type: TEXT | Workflow name eg  STAR 2-Pass
file_type: TEXT | File Type  -- eg aligned_reads, simple_somatic_mutation, gene_expression, etc
file_state: TEXT | File state -- either live or submitted
index_file_gdc_id: TEXT | Where available, GDC file uuid for index file
