[TABLES]
## GEO_US_BOUNDARIES.ADJACENT_STATES
state: TEXT | NULL
state_zone: TEXT | NULL
state: TEXT | NULL
zone: TEXT | NULL
time_zone: TEXT | NULL
lat: FLOAT | NULL

## GEO_US_BOUNDARIES.ZIP_CODES
area_land_meters: FLOAT | NULL
internal_point_lat: FLOAT | NULL
zip_code: TEXT | NULL
area_water_meters: FLOAT | NULL
fips_class_code: TEXT | NULL
state_code: TEXT | NULL
zip_code_geom: BINARY | NULL
state_fips_code: TEXT | NULL
county: TEXT | NULL
functional_status: TEXT | NULL
state_name: TEXT | NULL
internal_point_geom: BINARY | NULL
mtfcc_feature_class_code: TEXT | NULL
internal_point_lon: FLOAT | NULL
city: TEXT | NULL

## GEO_US_BOUNDARIES.COASTLINE
coastline_geom: BINARY | NULL
name: TEXT | NULL

## GEO_US_BOUNDARIES.CONGRESS_DISTRICT_115
congress_session: TEXT | NULL
district_geom: BINARY | NULL
functional_status: BOOLEAN | NULL
mtfcc_feature_class_code: TEXT | NULL
geo_id: TEXT | NULL
lsad_code: TEXT | NULL
area_water_meters: NUMBER | NULL
int_point_geom: BINARY | NULL
state_fips_code: TEXT | NULL
lsad_name: TEXT | NULL
district_fips_code: TEXT | NULL
area_land_meters: NUMBER | NULL
int_point_lon: FLOAT | NULL
int_point_lat: FLOAT | NULL

## GEO_US_BOUNDARIES.STATES
state_fips_code: TEXT | NULL
division_code: TEXT | NULL
area_water_meters: NUMBER | NULL
int_point_lon: FLOAT | NULL
functional_status: TEXT | NULL
int_point_geom: BINARY | NULL
state_gnis_code: TEXT | NULL
geo_id: TEXT | NULL
state: TEXT | NULL
region_code: TEXT | NULL
area_land_meters: NUMBER | NULL
state_name: TEXT | NULL
int_point_lat: FLOAT | NULL
state_geom: BINARY | NULL
mtfcc_feature_class_code: TEXT | NULL
lsad_code: TEXT | NULL

## GEO_US_BOUNDARIES.ADJACENT_COUNTIES
neighbors_fips_code: VARIANT | NULL
county_fips_code: TEXT | NULL
neighbors: VARIANT | NULL
neighbors_state: VARIANT | NULL
state: TEXT | NULL
county: TEXT | NULL

## GEO_US_BOUNDARIES.URBAN_AREAS
internal_point_geom: BINARY | NULL
internal_point_lat: FLOAT | NULL
internal_point_lon: FLOAT | NULL
urban_area_geom: BINARY | NULL
geo_id: TEXT | NULL
name: TEXT | NULL
functional_status: TEXT | NULL
urban_area_code: TEXT | NULL
area_lsad_code: TEXT | NULL
lsad_name: TEXT | NULL
type: TEXT | NULL
mtfcc_feature_class_code: TEXT | NULL
area_land_meters: FLOAT | NULL
area_water_meters: FLOAT | NULL

## GEO_US_BOUNDARIES.CNECTA
lsad: TEXT | NULL
geo_id: TEXT | NULL
mtfcc_feature_class_code: TEXT | NULL
cnecta_geom: BINARY | NULL
int_point_lat: FLOAT | NULL
int_point_lon: FLOAT | NULL
area_water_meters: NUMBER | NULL
name_lsad: TEXT | NULL
name: TEXT | NULL
cnecta_fips_code: TEXT | NULL
area_land_meters: NUMBER | NULL

## GEO_OPENSTREETMAP.HISTORY_CHANGESETS
osm_timestamp_min: NUMBER | Minimum timestamp of objects contained in this changeset.
ways: VARIANT | Ways that are part of this way
id: NUMBER | Changeset ID.
osm_timestamp_max: NUMBER | Maximum timestamp of objects contained in this changeset.
relations: VARIANT | Relations that are part of this way
nodes: VARIANT | Nodes that are part of this way

## GEO_OPENSTREETMAP.PLANET_RELATIONS
visible: BOOLEAN | NULL
osm_timestamp: NUMBER | NULL
id: NUMBER | NULL
username: TEXT | NULL
all_tags: VARIANT | NULL
geometry: BINARY | NULL
members: VARIANT | NULL
version: NUMBER | NULL
changeset: NUMBER | NULL

## GEO_OPENSTREETMAP.HISTORY_RELATIONS
username: TEXT | NULL
members: VARIANT | NULL
osm_timestamp: NUMBER | NULL
id: NUMBER | NULL
visible: BOOLEAN | NULL
version: NUMBER | NULL
geometry: BINARY | NULL
all_tags: VARIANT | NULL
changeset: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_LAYERS
layer_code: NUMBER | NULL
osm_id: NUMBER | NULL
osm_timestamp: NUMBER | NULL
osm_way_id: NUMBER | NULL
layer_class: TEXT | NULL
all_tags: VARIANT | NULL
layer_name: TEXT | NULL
geometry: BINARY | NULL
gdal_type: TEXT | NULL
osm_version: NUMBER | NULL

## GEO_OPENSTREETMAP.HISTORY_NODES
all_tags: VARIANT | NULL
changeset: NUMBER | NULL
longitude: NUMBER | NULL
username: TEXT | NULL
latitude: NUMBER | NULL
id: NUMBER | NULL
osm_timestamp: NUMBER | NULL
geometry: BINARY | NULL
visible: BOOLEAN | NULL
version: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_FEATURES
geometry: BINARY | NULL
osm_timestamp: NUMBER | NULL
all_tags: VARIANT | NULL
feature_type: TEXT | NULL
osm_version: NUMBER | NULL
osm_id: NUMBER | NULL
osm_way_id: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_FEATURES_POINTS
geometry: BINARY | NULL
osm_timestamp: NUMBER | NULL
osm_way_id: NUMBER | NULL
osm_id: NUMBER | NULL
osm_version: NUMBER | NULL
all_tags: VARIANT | NULL

## GEO_OPENSTREETMAP.HISTORY_LAYERS
layer_name: TEXT | NULL
osm_id: NUMBER | NULL
all_tags: VARIANT | NULL
osm_way_id: NUMBER | NULL
geometry: BINARY | NULL
gdal_type: TEXT | NULL
layer_code: NUMBER | NULL
osm_timestamp: NUMBER | NULL
osm_version: NUMBER | NULL
layer_class: TEXT | NULL

## GEO_OPENSTREETMAP.PLANET_NODES
all_tags: VARIANT | NULL
osm_timestamp: NUMBER | NULL
changeset: NUMBER | NULL
visible: BOOLEAN | NULL
geometry: BINARY | NULL
latitude: NUMBER | NULL
version: NUMBER | NULL
username: TEXT | NULL
longitude: NUMBER | NULL
id: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_WAYS
version: NUMBER | NULL
geometry: BINARY | NULL
username: TEXT | NULL
visible: BOOLEAN | NULL
all_tags: VARIANT | NULL
osm_timestamp: NUMBER | NULL
nodes: VARIANT | NULL
id: NUMBER | NULL
changeset: NUMBER | NULL
