[STANDALONE]
## SAN_FRANCISCO.BIKESHARE_STATIONS
latitude: FLOAT | Latitude | eg=[37.342725, 37.330165]
transport_timestamp: NUMBER | If this unit is an ambulance, date and time the unit begins the transport unit arrives to hospital | eg=[1453131544000000.0, 1470676790000000.0]
row_id: TEXT | Unique identifier used for managing data updates. It is the concatenation of Call Number and Unit ID separated by a dash | eg=["160182005-59", "162212479-76"]
watch_date: DATE | Watch date when the call is received. Watch date starts at 0800 each morning and ends at 0800 the next day. | eg=["2016-01-18", "2016-08-08"]
call_final_disposition: TEXT | Disposition of the call (Code). For example TH2: Transport to Hospital - Code 2, FIR: Resolved by Fire Department | eg=["Code 2 Transport", "Unable to Locate"]
dispatch_timestamp: NUMBER | Date and time the 911 operator dispatches this unit to the call. | eg=[1453129917000000, 1470675153000000]
on_scene_timestamp: NUMBER | Date and time the unit records arriving to the location of the incident | eg=[1453130525000000, 1470676436000000]
unit_id: TEXT | Unit Identifier. For example E01 for Engine 1 or T01 for Truck 1. | eg=["59", "76"]
location: TEXT | Latitude and longitude of address obfuscated either to the midblock, intersection or call box | eg=["(37.7843455364627, -122.407785146121)"]
latitude: FLOAT | Latitude of the address | eg=[37.7843455364627]

## SAN_FRANCISCO.SFPD_INCIDENTS
latitude: FLOAT | NULL | eg=[37.7850736197499, 37.7850943210103]
pdid: NUMBER | Unique Identifier for use in update and insert operations | eg=[8100917616710, 8068971565015]
timestamp: NUMBER | NULL | eg=[1222128120000000, 1214986320000000]
longitude: FLOAT | NULL | eg=[-122.411141948101, -122.407845374111]
pddistrict: TEXT | Police Department district | eg=["TENDERLOIN"]
dayofweek: TEXT | NULL | eg=["Tuesday", "Wednesday"]
unique_key: NUMBER | The unique incident number for this accident | eg=[81009176, 80689715]
resolution: TEXT | Whether there was an arrest, citation, booking, etc. | eg=["ARREST, CITED", "UNFOUNDED"]
location: TEXT | Latitude/Longitude | eg=["(37.7850736197499, -122.411141948101)", "(37.7850943210103, -122.407845374111)"]
descript: TEXT | NULL | eg=["POSSESSION OF NARCOTICS PARAPHERNALIA", "TRAFFIC VIOLATION"]
address: TEXT | NULL | eg=["ELLIS ST / TAYLOR ST", "TAYLOR ST / ELLIS ST"]
category: TEXT | NULL | eg=["DRUG/NARCOTIC", "OTHER OFFENSES"]

## SAN_FRANCISCO.STREET_TREES
dbh: TEXT | depth height | eg=["3"]
plant_date: NUMBER | Date tree was planted | eg=[1441804080000000, 1317340800000000]
species: TEXT | Species of tree | eg=["Cupressus macrocarpa :: Monterey Cypress", "Ulmus parvifolia :: Chinese Elm"]
plot_size: TEXT | dimension of tree plot | eg=["", "3x3"]
x_coordinate: FLOAT | CA State Plane III | eg=[5991370.3, 6016360.63733]
y_coordinate: FLOAT | CA State Plane III | eg=[2095943.7, 2094893.94179]
longitude: FLOAT | WGS84 | eg=[-122.472270103664, -122.385796183605]
plant_type: TEXT | Landscaping or Tree | eg=["Tree"]
site_info: TEXT | Description of location of tree | eg=[":", "Median : Cutout"]
latitude: FLOAT | WGS84 | eg=[37.7345659248964, 37.7330981190079]
site_order: NUMBER | Order of tree at address where multiple trees are at same address. Trees are ordered in ascending address order | eg=[7.0, 5.0]
care_taker: TEXT | Agency or person that is primary caregiver to tree. Owner of Tree | eg=["DPW"]
permit_notes: TEXT | Tree permit number reference | eg=[""]
location: TEXT | Location formatted for mapping | eg=["(37.7345659248964, -122.472270103664)", "(37.7330981190079, -122.385796183605)"]
tree_id: NUMBER | Unique ID for Tree | eg=[113066, 97434]
address: TEXT | Address of Tree | eg=["2X Cranleigh Dr", "1380x Newcomb Ave"]
legal_status: TEXT | Legal staus: Permitted or DPW maintained | eg=[""]
care_assistant: TEXT | Agency or person that is secondary caregiver to tree | eg=[""]

## SAN_FRANCISCO._311_SERVICE_REQUESTS
resolution_action_updated_date: NUMBER | NULL | eg=[1382088151000000, 1369840919000000]
closed_date: NUMBER | NULL | eg=[1382088151000000, 1369840919000000]
unique_key: NUMBER | The service request tracking number. | eg=[2948707, 2408558]
created_date: NUMBER | Date Service request was created. | eg=[1381874217000000, 1369470219000000]
supervisor_district: NUMBER | NULL | eg=[9]
latitude: FLOAT | Service request location latitude coordinate. | eg=[37.753, 37.7406]
category: TEXT | NULL | eg=["Illegal Postings"]
status_notes: TEXT | NULL | eg=["resolved:", ""]
media_url: TEXT | NULL | eg=[""]
agency_name: TEXT | NULL | eg=["DPW Ops Queue"]
location: TEXT | Service request location latitude and longitude coordinates. | eg=["(37.7530040329058, -122.406336330732)", "(37.740597710889, -122.421935283041)"]
neighborhood: TEXT | NULL | eg=["Potrero Hill", "Holly Park"]
source: TEXT | Contact method Service request was received from. Mass entry requests are submitted by dept. in groups after work is completed. | eg=["Web"]
complaint_type: TEXT | NULL | eg=["Illegal Posting - No_Posting_Date"]
incident_address: TEXT | Service location of Service request. | eg=["Intersection of 24TH ST and POTRERO AVE", "44 CORTLAND AVE, SAN FRANCISCO, CA, 94110"]
longitude: FLOAT | Service request location longitude coordinate. | eg=[-122.4063, -122.4219]
status: TEXT | Service request status. Duplicate statuses indicate that issue had previously been reported recently. | eg=["Closed"]
descriptor: TEXT | NULL | eg=["No_Posting_Date"]
police_district: TEXT | NULL | eg=["MISSION", "INGLESIDE"]
