[TABLES]
## NOAA_PIFSC_METADATA.DCLDE_2020_1705_MINKE_DETECTIONS
detection_time_end_utc: NUMBER | NULL | eg=[1510100124000000, 1510100133000000]
local_ship_date: DATE | NULL | eg=["2017-08-27", "2017-08-31"]
total_high: NUMBER | NULL | eg=[3, 19]
distance: FLOAT | NULL | eg=[1314.9, 4018.8]
total_best: FLOAT | NULL | eg=[2.0, 13.4]
point: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xd5x\\xe9&1Xc\\xc0L7\\x89A`\\xa53@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xc7K7\\x89A\\x88c\\xc0^\\xbaI\\x0c\\x02+3@')"]
bearing: NUMBER | NULL | eg=[0, 50]
total_low: NUMBER | NULL | eg=[2, 10]
effort_type: TEXT | NULL | eg=["F", "N"]
species_id: TEXT | NULL | eg=["49", "177"]
sighting_local_time: TIME | NULL | eg=["09:53:00", "15:52:00"]

## NOAA_PIFSC_METADATA.DCLDE_SETTE_GPS
local_time: NUMBER | NULL | eg=[1502446759000000, 1502446685000000]
latitude: FLOAT | NULL | eg=[24.0]
utc_time: NUMBER | NULL | eg=[1502482759000000, 1502482685000000]
speed: FLOAT | NULL | eg=[10.26, 10.37]
effort: NUMBER | NULL | eg=[0]
point: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xd7\\xa3p=\\n\\xd7c\\xc0\\x01\\x00\\x00\\x00\\x00\\x008@')"]
longitude: FLOAT | NULL | eg=[-158.72]

## NOAA_PIFSC_METADATA.DCLDE_LASKER_GPS
longitude: FLOAT | NULL | eg=[-158.39, -158.46]
latitude: FLOAT | NULL | eg=[20.0]
effort: NUMBER | NULL | eg=[0]
utc_time: NUMBER | NULL | eg=[-61609333860000000, -61609330980000000]
speed: FLOAT | NULL | eg=[7.04, 10.2]
local_time: NUMBER | NULL | eg=[-61609369860000000, -61609366980000000]

## NOAA_PIFSC_METADATA.DCLDE_2020_1706_ARRAY
hp6_ad: TEXT | NULL | eg=["6", "12"]
array1: TEXT | NULL | eg=["Iiwi      ", "Pueo      "]
hp6_dist: TEXT | NULL | eg=["-388.33", "NA"]
hp3_ad: NUMBER | NULL | eg=[6, 12]
hp4_dist: TEXT | NULL | eg=["-386.37", "NA"]
array2: TEXT | NULL | eg=["Pueo      ", "NA"]
hp3_dist: FLOAT | NULL | eg=[-350.05, -355.3]
array_end_local: NUMBER | NULL | eg=[1500146781000000, 1503857459000000]
hp2_ad: NUMBER | NULL | eg=[6, 12]
hp1_ad: NUMBER | NULL | eg=[6, 12]
hp4_ad: TEXT | NULL | eg=["6", "12"]
hp5_dist: TEXT | NULL | eg=["-387.33", "NA"]
array_end_utc: NUMBER | NULL | eg=[1500182781000000, 1503893459000000]
hp2_dist: FLOAT | NULL | eg=[-349.05, -354.2]
hp5_ad: TEXT | NULL | eg=["6", "12"]
hp1_dist: FLOAT | NULL | eg=[-348.07, -353.34]
array_start_local: NUMBER | NULL | eg=[1499761083000000, 1503824417000000]
array_start_utc: NUMBER | NULL | eg=[1499797083000000, 1503860417000000]

## NOAA_PIFSC_METADATA.DCLDE_2020_DETECTION_README
field: TEXT | NULL | eg=["Array2", "ArrayStart_ShipLocal"]
description: TEXT | NULL | eg=["Name of array attached directly to the separator.", "Start time for provided array parameters in \"ship local\" time."]
table: TEXT | NULL | eg=["x_Array"]

## NOAA_PIFSC_METADATA.DCLDE_2020_1705_ODONTOCETE_DETECTIONS
first_distance: NUMBER | NULL | eg=[NaN, 4300.0]
latitude: FLOAT | NULL | eg=[21.03715833, 21.71451833]
beam_time_utc: NUMBER | NULL | eg=[NaN, 1511319020000000.0]
first_angle: NUMBER | NULL | eg=[18, 14]
species1_id: TEXT | NULL | eg=["2"]
species3_id: TEXT | NULL
detection_time_start_utc: NUMBER | NULL | eg=[1507588530000000, 1510111885000000]
point: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00a,\\x1d\\xbdk\\xa5c\\xc0\\xbd\\x1fT5\\x83\\t5@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xad\\\\^o\\x91\\x19d\\xc0\\x18\\xbe[\\xac\\xea\\xb65@')"]
sighting_number: TEXT | NULL | eg=["84", "129"]
longitude: FLOAT | NULL | eg=[-157.1694017, -160.7990033]
species2_id: TEXT | NULL | eg=["177"]
acoustic_detection_number: TEXT | NULL | eg=["213", "317"]
detection_time_end_utc: NUMBER | NULL | eg=[1507590802000000, 1510113162000000]
detection_distance: NUMBER | NULL | eg=[NaN, 4300.0]
beam_distance: NUMBER | NULL | eg=[NaN, 2400.0]
detection_time_start_local: NUMBER | NULL | eg=[1507552530000000, 1510075885000000]

## NOAA_PIFSC_METADATA.DCLDE_LASKER_ARRAY_DEPTH
end_depth: FLOAT | NULL | eg=[6.07, 4.9]
inline_depth: FLOAT | NULL | eg=[3.25, 3.5]
local_time: NUMBER | NULL | eg=[1511283209000000, 1511693011000000]
utc_time: NUMBER | NULL | eg=[1511319210000000, 1511729012000000]

## NOAA_PIFSC_METADATA.DCLDE_2020_1706_VISUAL_SIGHTINGS
total_best: FLOAT | NULL | eg=[4.5, 7.8]
total_high: NUMBER | NULL | eg=[6, 15]
species_id: TEXT | NULL | eg=["15", "32"]
point: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xee|?5^\\x8ec\\xc0xE\\xf0\\xbf\\x95\\\\5@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00b\\x10X9\\xb4xc\\xc0\\xf7(\\\\\\x8f\\xc2u4@')"]
sighting_local_time: TIME | NULL | eg=["15:16:00", "14:11:00"]
bearing: NUMBER | NULL | eg=[46, 337]
effort_type: TEXT | NULL | eg=["F"]
longitude: FLOAT | NULL | eg=[-156.449, -155.772]
sighting_number: TEXT | NULL | eg=["22", "43"]
effort: TEXT | NULL | eg=["ON"]
total_low: NUMBER | NULL | eg=[4, 5]
distance: FLOAT | NULL | eg=[3592.9, 814.9]
latitude: FLOAT | NULL | eg=[21.36166, 20.46]
local_ship_date: DATE | NULL | eg=["2017-07-15", "2017-07-31"]

## NOAA_PIFSC_METADATA.DCLDE_2020_1705_ARRAY
hp2_ad: NUMBER | NULL | eg=[6]
array2: TEXT | NULL | eg=["Goanna    ", "Echidna   "]
array_end_local: NUMBER | NULL | eg=[1509647855000000, 1504541995000000]
hp6_ad: NUMBER | NULL | eg=[12]
array_start_local: NUMBER | NULL | eg=[1507535788000000, 1503819982000000]
hp5_ad: NUMBER | NULL | eg=[12]
hp1_dist: FLOAT | NULL | eg=[-335.82, -335.42]
hp6_dist: FLOAT | NULL | eg=[-366.92, -361.01]
hp3_ad: NUMBER | NULL | eg=[6]
hp4_dist: FLOAT | NULL | eg=[-364.97, -358.99]
hp2_dist: FLOAT | NULL | eg=[-336.8, -336.4]
hp1_ad: NUMBER | NULL | eg=[6]
hp5_dist: FLOAT | NULL | eg=[-365.93, -360.01]
array_start_utc: NUMBER | NULL | eg=[1507571788000000, 1503855982000000]
hp4_ad: NUMBER | NULL | eg=[12]
array1: TEXT | NULL | eg=["Numbat    ", "Sugar Glider "]
hp3_dist: FLOAT | NULL | eg=[-337.8, -337.4]
array_end_utc: NUMBER | NULL | eg=[1509683855000000, 1504577995000000]

## NOAA_PIFSC_METADATA.DCLDE_SETTE_ARRAY_DEPTH
local_time: NUMBER | NULL | eg=[1505583275000000, 1500099300000000]
inline_depth: FLOAT | NULL | eg=[6.0]
end_depth: FLOAT | NULL | eg=[6.76, 7.76]
utc_time: NUMBER | NULL | eg=[1505619275000000, 1500135301000000]

## NOAA_HISTORIC_SEVERE_STORMS.STORMS_1976
state: TEXT | The full text state name where the event occurred | eg=["Co"]
event_type: TEXT | The only events permitted in Storm Data are listed in Table 1 of Section 2.1.1 of NWS Directive 10-1605 at http://www.nws.noaa.gov/directives/sym/pd01016005curr.pdf. The chosen event type is the one that most accurately describes the meteorological event leading to fatalities, injuries, damage, etc. However, significant events, such as tornadoes, having no impact or causing no damage, are also included in Storm Data. | eg=["tornado"]
reference_location: TEXT | Reference location of the center from which the range is calculated and the azimuth is determined
episode_id: TEXT | ID assigned by NWS to denote the storm episode; links the event details file with the information within location file
cz_type: TEXT | Indicates whether the event happened in   - C: County/Parish  - Z: NWS zone  - M: Marine | eg=["C"]
tor_other_wfo: TEXT | Indicates the continuation of a tornado segment as it crossed from one National Weather Service Forecast Office to another. The subsequent WFO identifier is provided within this field.
event_azimuth: TEXT | 16-point compass direction from a particular village/city, airport, or inland lake, providing that the reference point is documented in the Storm Data software location database of > 130,000 locations.
damage_crops: NUMBER | The estimated amount of damage to crops incurred by the weather event, in USD at the time of the storm. Values are not adjusted for inflation  Note: Values listed as 0 do not necessarily mean that no property damage occurred as a result of the event | eg=[0]
injuries_direct: NUMBER | The number of injuries directly related to the weather event | eg=[0]
cz_name: TEXT | (County/Parish, Zone or Marine Name assigned to the county FIPS number or NWS Forecast Zone  NWS Forecast Zones are available as a BigQuery Public Dataset: bigquery-public-data.noaa_historic_severe_storms.nws_forecast_zones | eg=["WELD", "LOGAN"]
event_begin_time: NUMBER | The date and time that the event began. Note that episodes and events may have different start and end times if multiple events occured in the same episode | eg=[202232700000000, 202233600000000]
magnitude_type: TEXT | Differentiates between the type of mangitude measured.    - EG = Wind Estimated Gust  - ES = Estimated Sustained Wind  - MS = Measured Sustained Wind  - MG = Measured Wind Gust  No magnitude type is included for hail
event_point: BINARY | Geographic representation of the event_longitude and latitude
cz_fips_code: TEXT | Unique FIPS code identifier assigned to each county.   State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.counties_2016  The geographic polygons that define the perimeter of each state are available as a BigQuery Public Dataset: bigquery-public-data.geo_us_boundaries.us_counties | eg=["123", "75"]
tor_length: TEXT | Length of the tornado or tornado segment while on the ground (minimal of tenths of miles) | eg=["0.0", "0.1"]
deaths_direct: NUMBER | The number of deathes directly related to the weather event | eg=[0]
tor_width: TEXT | Width of the tornado or tornado segment while on the ground (in feet) | eg=["33", "20"]
damage_property: NUMBER | The estimated amount of damage to property incurred by the weather event, in USD at the time of the event. Values are not adjusted for inflation  Note: Values listed as 0 do not necessarily mean that no property damage occurred as a result of the event | eg=[0, 250000]
source: TEXT | Source reporting the weather event  Note: This can be any entry. Values are not restricted to specific categories
event_id: TEXT | ID assigned by NWS to note a single, small part that goes into a specific storm episode; links the storm episode between the three files downloaded from SPC’s website | eg=["9986351", "9986352"]
event_longitude: FLOAT | The longitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s W of the Prime Meridian)
event_latitude: FLOAT | The latitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s S of the Equator)
event_range: FLOAT | A hydro-meteorological event will be referenced, minimally, to the nearest tenth of a mile, to the geographical center (not from the village/city boundaries or limits) of a particular village/city, airport, or inland lake, providing that the reference point is documented in the Storm Data software location database.
injuries_indirect: NUMBER | The number of injuries indirectly related to the weather event | eg=[0]
magnitude: FLOAT | Measured extent of the magnitude type. This is only used for wind speeds and hail size.   Wind speeds are in MPH; Hail sizes are in inches | eg=[0.0]
event_timezone: TEXT | The time zone in which the event_begin_time and the event_end_time is recorded. | eg=["CST"]
location_index: TEXT | Number assigned by NWS to specific locations within the same Storm event. Each event’s sequentially increasing location index number will have a corresponding lat/lon point
wfo: TEXT | National Weather Service Forecast Office’s area of responsibility (County Warning Area) in which the event occurred
event_end_time: NUMBER | The date and time that the event ended. Note that episodes and events may have different start and end times if multiple events occured in the same episode | eg=[202232700000000, 202233600000000]
flood_cause: TEXT | Reported or estimated cause of the flood
state_fips_code: TEXT | Unique FIPS code identifier assigned to each state.   State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016  The geographic polygons that define the perimeter of each state are available as a BigQuery Public Dataset: bigquery-public-data.geo_us_boundaries.us_states | eg=["8"]
deaths_indirect: NUMBER | The number of deathes indirectly related to the weather event | eg=[0]
tor_f_scale: TEXT | Enhanced Fujita Scale describes the strength of the tornado based on the amount and type of damage caused by the tornado. The F-scale of damage will vary in the destruction area; therefore, the highest value of the F-scale is recorded for each event.    - EF0 – Light Damage (40 – 72 mph)   - EF1 – Moderate Damage (73 – 112 mph)   - EF2 – Significant damage (113 – 157 mph)   - EF3 – Severe Damage (158 – 206 mph)   - EF4 – Devastating Damage (207 – 260 mph)   - EF5 – Incredible Damage (261 – 318 mph) | eg=["F0", "F2"]

## NOAA_HISTORIC_SEVERE_STORMS.STORMS_1981
source: TEXT | Source reporting the weather event  Note: This can be any entry. Values are not restricted to specific categories
event_azimuth: TEXT | 16-point compass direction from a particular village/city, airport, or inland lake, providing that the reference point is documented in the Storm Data software location database of > 130,000 locations.
cz_name: TEXT | (County/Parish, Zone or Marine Name assigned to the county FIPS number or NWS Forecast Zone  NWS Forecast Zones are available as a BigQuery Public Dataset: bigquery-public-data.noaa_historic_severe_storms.nws_forecast_zones | eg=["BOONE", "SAUNDERS"]
wfo: TEXT | National Weather Service Forecast Office’s area of responsibility (County Warning Area) in which the event occurred | eg=["ATA", "MT"]
event_id: TEXT | ID assigned by NWS to note a single, small part that goes into a specific storm episode; links the storm episode between the three files downloaded from SPC’s website | eg=["10068900", "10067668"]
tor_length: TEXT | Length of the tornado or tornado segment while on the ground (minimal of tenths of miles) | eg=["0.0"]
deaths_direct: NUMBER | The number of deathes directly related to the weather event | eg=[0, 2]
injuries_indirect: NUMBER | The number of injuries indirectly related to the weather event | eg=[0]
deaths_indirect: NUMBER | The number of deathes indirectly related to the weather event | eg=[0]
event_latitude: FLOAT | The latitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s S of the Equator)
damage_crops: NUMBER | The estimated amount of damage to crops incurred by the weather event, in USD at the time of the storm. Values are not adjusted for inflation  Note: Values listed as 0 do not necessarily mean that no property damage occurred as a result of the event | eg=[0]
tor_other_wfo: TEXT | Indicates the continuation of a tornado segment as it crossed from one National Weather Service Forecast Office to another. The subsequent WFO identifier is provided within this field.
event_longitude: FLOAT | The longitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s W of the Prime Meridian)
event_type: TEXT | The only events permitted in Storm Data are listed in Table 1 of Section 2.1.1 of NWS Directive 10-1605 at http://www.nws.noaa.gov/directives/sym/pd01016005curr.pdf. The chosen event type is the one that most accurately describes the meteorological event leading to fatalities, injuries, damage, etc. However, significant events, such as tornadoes, having no impact or causing no damage, are also included in Storm Data. | eg=["thunderstorm wind", "tornado"]
event_timezone: TEXT | The time zone in which the event_begin_time and the event_end_time is recorded. | eg=["CST"]
injuries_direct: NUMBER | The number of injuries directly related to the weather event | eg=[0, 23]
event_end_time: NUMBER | The date and time that the event ended. Note that episodes and events may have different start and end times if multiple events occured in the same episode | eg=[362597400000000, 355155000000000]
event_point: BINARY | Geographic representation of the event_longitude and latitude
event_range: FLOAT | A hydro-meteorological event will be referenced, minimally, to the nearest tenth of a mile, to the geographical center (not from the village/city boundaries or limits) of a particular village/city, airport, or inland lake, providing that the reference point is documented in the Storm Data software location database.
episode_id: TEXT | ID assigned by NWS to denote the storm episode; links the event details file with the information within location file
location_index: TEXT | Number assigned by NWS to specific locations within the same Storm event. Each event’s sequentially increasing location index number will have a corresponding lat/lon point
magnitude_type: TEXT | Differentiates between the type of mangitude measured.    - EG = Wind Estimated Gust  - ES = Estimated Sustained Wind  - MS = Measured Sustained Wind  - MG = Measured Wind Gust  No magnitude type is included for hail
event_begin_time: NUMBER | The date and time that the event began. Note that episodes and events may have different start and end times if multiple events occured in the same episode | eg=[362597400000000, 355155000000000]
magnitude: FLOAT | Measured extent of the magnitude type. This is only used for wind speeds and hail size.   Wind speeds are in MPH; Hail sizes are in inches | eg=[0.0]
tor_f_scale: TEXT | Enhanced Fujita Scale describes the strength of the tornado based on the amount and type of damage caused by the tornado. The F-scale of damage will vary in the destruction area; therefore, the highest value of the F-scale is recorded for each event.    - EF0 – Light Damage (40 – 72 mph)   - EF1 – Moderate Damage (73 – 112 mph)   - EF2 – Significant damage (113 – 157 mph)   - EF3 – Severe Damage (158 – 206 mph)   - EF4 – Devastating Damage (207 – 260 mph)   - EF5 – Incredible Damage (261 – 318 mph) | eg=["F3"]
flood_cause: TEXT | Reported or estimated cause of the flood
cz_fips_code: TEXT | Unique FIPS code identifier assigned to each county.   State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.counties_2016  The geographic polygons that define the perimeter of each state are available as a BigQuery Public Dataset: bigquery-public-data.geo_us_boundaries.us_counties | eg=["11", "155"]
tor_width: TEXT | Width of the tornado or tornado segment while on the ground (in feet) | eg=["0", "100"]
damage_property: NUMBER | The estimated amount of damage to property incurred by the weather event, in USD at the time of the event. Values are not adjusted for inflation  Note: Values listed as 0 do not necessarily mean that no property damage occurred as a result of the event | eg=[0, 25000000]
reference_location: TEXT | Reference location of the center from which the range is calculated and the azimuth is determined
state_fips_code: TEXT | Unique FIPS code identifier assigned to each state.   State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016  The geographic polygons that define the perimeter of each state are available as a BigQuery Public Dataset: bigquery-public-data.geo_us_boundaries.us_states | eg=["31", "1"]
cz_type: TEXT | Indicates whether the event happened in   - C: County/Parish  - Z: NWS zone  - M: Marine | eg=["C"]
state: TEXT | The full text state name where the event occurred | eg=["Ne", "Al"]

## NOAA_HISTORIC_SEVERE_STORMS.STORMS_2004
episode_id: TEXT | ID assigned by NWS to denote the storm episode; links the event details file with the information within location file | eg=["1165370", "1165425"]
state_fips_code: TEXT | Unique FIPS code identifier assigned to each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016  The geographic polygons that define the perimeter of each state are available as a BigQuery Public Dataset: bigquery-public-data.geo_us_boundaries.us_states | eg=["2", "30"]
injuries_indirect: NUMBER | The number of injuries indirectly related to the weather event | eg=[0]
flood_cause: TEXT | Reported or estimated cause of the flood
event_id: TEXT | ID assigned by NWS to note a single, small part that goes into a specific storm episode; links the storm episode between the three files downloaded from SPC’s website | eg=["5381577", "5380349"]
event_end_time: NUMBER | The date and time that the event ended. Note that episodes and events may have different start and end times if multiple events occured in the same episode | eg=[1077991200000000, 1075363200000000]
event_type: TEXT | The only events permitted in Storm Data are listed in Table 1 of Section 2.1.1 of NWS Directive 10-1605 at http://www.nws.noaa.gov/directives/sym/pd01016005curr.pdf. The chosen event type is the one that most accurately describes the meteorological event leading to fatalities, injuries, damage, etc. However, significant events, such as tornadoes, having no impact or causing no damage, are also included in Storm Data. | eg=["avalanche"]
event_longitude: FLOAT | The longitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s W of the Prime Meridian)
tor_f_scale: TEXT | Enhanced Fujita Scale describes the strength of the tornado based on the amount and type of damage caused by the tornado. The F-scale of damage will vary in the destruction area; therefore, the highest value of the F-scale is recorded for each event.    - EF0 – Light Damage (40 – 72 mph)   - EF1 – Moderate Damage (73 – 112 mph)   - EF2 – Significant damage (113 – 157 mph)   - EF3 – Severe Damage (158 – 206 mph)   - EF4 – Devastating Damage (207 – 260 mph)   - EF5 – Incredible Damage (261 – 318 mph)
tor_length: TEXT | Length of the tornado or tornado segment while on the ground (minimal of tenths of miles)
injuries_direct: NUMBER | The number of injuries directly related to the weather event | eg=[0, 2]
tor_other_wfo: TEXT | Indicates the continuation of a tornado segment as it crossed from one National Weather Service Forecast Office to another. The subsequent WFO identifier is provided within this field.
cz_type: TEXT | Indicates whether the event happened in   - C: County/Parish  - Z: NWS zone  - M: Marine | eg=["Z"]
event_azimuth: TEXT | 16-point compass direction from a particular village/city, airport, or inland lake, providing that the reference point is documented in the Storm Data software location database of > 130,000 locations.
state: TEXT | The full text state name where the event occurred | eg=["Al", "Mo"]
event_timezone: TEXT | The time zone in which the event_begin_time and the event_end_time is recorded. | eg=["AST", "MST"]
deaths_direct: NUMBER | The number of deathes directly related to the weather event | eg=[1, 0]
cz_name: TEXT | (County/Parish, Zone or Marine Name assigned to the county FIPS number or NWS Forecast Zone  NWS Forecast Zones are available as a BigQuery Public Dataset: bigquery-public-data.noaa_historic_severe_storms.nws_forecast_zones | eg=["WRN P.W. SND & KENAI MTNS", "WEST GLACIER REGION"]
source: TEXT | Source reporting the weather event  Note: This can be any entry. Values are not restricted to specific categories | eg=["BROADCAST MEDIA", "PARK/FOREST SERVICE"]
event_point: BINARY | Geographic representation of the event_longitude and latitude
event_latitude: FLOAT | The latitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s S of the Equator)
magnitude: FLOAT | Measured extent of the magnitude type. This is only used for wind speeds and hail size. Wind speeds are in MPH; Hail sizes are in inches
event_range: FLOAT | A hydro-meteorological event will be referenced, minimally, to the nearest tenth of a mile, to the geographical center (not from the village/city boundaries or limits) of a particular village/city, airport, or inland lake, providing that the reference point is documented in the Storm Data software location database.
damage_property: NUMBER | The estimated amount of damage to property incurred by the weather event, in USD at the time of the event. Values are not adjusted for inflation  Note: Values listed as 0 do not necessarily mean that no property damage occurred as a result of the event | eg=[0, 5000]
tor_width: TEXT | Width of the tornado or tornado segment while on the ground (in feet)
reference_location: TEXT | Reference location of the center from which the range is calculated and the azimuth is determined
magnitude_type: TEXT | Differentiates between the type of mangitude measured. - EG = Wind Estimated Gust  - ES = Estimated Sustained Wind  - MS = Measured Sustained Wind  - MG = Measured Wind Gust  No magnitude type is included for hail
damage_crops: NUMBER | The estimated amount of damage to crops incurred by the weather event, in USD at the time of the storm. Values are not adjusted for inflation  Note: Values listed as 0 do not necessarily mean that no property damage occurred as a result of the event | eg=[0]
cz_fips_code: TEXT | Unique FIPS code identifier assigned to each county.   State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.counties_2016  The geographic polygons that define the perimeter of each state are available as a BigQuery Public Dataset: bigquery-public-data.geo_us_boundaries.us_counties | eg=["125", "2"]
wfo: TEXT | National Weather Service Forecast Office’s area of responsibility (County Warning Area) in which the event occurred | eg=["AFC", "MSO"]
event_begin_time: NUMBER | The date and time that the event began. Note that episodes and events may have different start and end times if multiple events occured in the same episode | eg=[1077991200000000, 1075276800000000]
location_index: TEXT | Number assigned by NWS to specific locations within the same Storm event. Each event’s sequentially increasing location index number will have a corresponding lat/lon point | eg=["1"]
deaths_indirect: NUMBER | The number of deathes indirectly related to the weather event | eg=[0]

## NOAA_HISTORIC_SEVERE_STORMS.STORMS_1966
event_timezone: TEXT | The time zone in which the event_begin_time and the event_end_time is recorded. | eg=["CST"]
location_index: TEXT | Number assigned by NWS to specific locations within the same Storm event. Each event’s sequentially increasing location index number will have a corresponding lat/lon point
event_id: TEXT | ID assigned by NWS to note a single, small part that goes into a specific storm episode; links the storm episode between the three files downloaded from SPC’s website | eg=["10080646", "10071207"]
magnitude_type: TEXT | Differentiates between the type of mangitude measured.    - EG = Wind Estimated Gust  - ES = Estimated Sustained Wind  - MS = Measured Sustained Wind  - MG = Measured Wind Gust  No magnitude type is included for hail
tor_f_scale: TEXT | Enhanced Fujita Scale describes the strength of the tornado based on the amount and type of damage caused by the tornado. The F-scale of damage will vary in the destruction area; therefore, the highest value of the F-scale is recorded for each event.    - EF0 – Light Damage (40 – 72 mph)   - EF1 – Moderate Damage (73 – 112 mph)   - EF2 – Significant damage (113 – 157 mph)   - EF3 – Severe Damage (158 – 206 mph)   - EF4 – Devastating Damage (207 – 260 mph)   - EF5 – Incredible Damage (261 – 318 mph) | eg=["F0"]
tor_width: TEXT | Width of the tornado or tornado segment while on the ground (in feet) | eg=["33", "0"]
state_fips_code: TEXT | Unique FIPS code identifier assigned to each state.   State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016  The geographic polygons that define the perimeter of each state are available as a BigQuery Public Dataset: bigquery-public-data.geo_us_boundaries.us_states | eg=["35", "30"]
event_longitude: FLOAT | The longitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s W of the Prime Meridian)
injuries_direct: NUMBER | The number of injuries directly related to the weather event | eg=[0]
event_begin_time: NUMBER | The date and time that the event began. Note that episodes and events may have different start and end times if multiple events occured in the same episode | eg=[-113634000000000, -98621100000000]
event_latitude: FLOAT | The latitude where the event occurred (rounded to the hundredths in decimal degrees; includes an ‘-‘ if it’s S of the Equator)
event_type: TEXT | The only events permitted in Storm Data are listed in Table 1 of Section 2.1.1 of NWS Directive 10-1605 at http://www.nws.noaa.gov/directives/sym/pd01016005curr.pdf. The chosen event type is the one that most accurately describes the meteorological event leading to fatalities, injuries, damage, etc. However, significant events, such as tornadoes, having no impact or causing no damage, are also included in Storm Data. | eg=["tornado", "thunderstorm wind"]
deaths_indirect: NUMBER | The number of deathes indirectly related to the weather event | eg=[0]
state: TEXT | The full text state name where the event occurred | eg=["Ne", "Mo"]
