[TABLES]
## FDA_FOOD.FOOD_EVENTS
products_role: TEXT | NULL | eg=["SUSPECT", "CONCOMITANT"]
geo_id: TEXT | Unique identifier for each block group. Census block group identifier; a concatenation of the current state FIPS code, county FIPS code, census tract code, and block group number. | eg=["060375740003", "060371203003"]
lsad_name: TEXT | Current translated legal/statistical area description and the block group number | eg=["Block Group 3"]
area_water_meters: NUMBER | Current water area | eg=[0]
county_fips_code: TEXT | Four-digit county FIPS code. County names and their corresponding FIPS codes can be found in BigQuery: `bigquery-public-data.census_utility.fips_codes_all` | eg=["037"]
functional_status: TEXT | Current functional status | eg=["S"]
blockgroup_geom: BINARY | Geographical representation of the polygon that defines the perimeter of the block group. This column should be used as the GEO column for visualization in BigQuery Geo Viz | eg=["bytearray(b\"\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00#\\x00\\x00\\x00\\x13+1\\xcfJ\\x87]\\xc0\\x97\\xf5b(\\'\\xe8@@\\xf8\\x93\\xbf{G\\x87]\\xc0\\xdb\\x80\\xcf\\x0f#\\xe8@@\\xc5\\xc9\\xfd\\x0eE\\x87]\\xc0\\xfa\\x01\\x0f\\x0c \\xe8@@\\x01;\\xc5\\xaaA\\x87]\\xc0\\xce\\x19Q\\xda\\x1b\\xe8@@i\\xea\\x03\\xc9;\\x87]\\xc0\\x1e\\xbb\\x0b\\x94\\x14\\xe8@@\\xe9b\\xd3J!\\x87]\\xc0\\xdb\\x0c7\\xe0\\xf3\\xe7@@\\xc0\\x1d\\xa8S\\x1e\\x87]\\xc0X.\\x1b\\x9d\\xf3\\xe7@@\\x9c\\x01\\xbc\\x05\\x12\\x87]\\xc0\\x88\\xb2\\xb7\\x94\\xf3\\xe7@@\\xe0Jvl\\x04\\x87]\\xc0\\xb96T\\x8c\\xf3\\xe7@@\\x9b\\xb5\\x14\\x90\\xf6\\x86]\\xc0\\x17?\\x8d{\\xf3\\xe7@@\\x11\\x00\\x1c{\\xf6\\x86]\\xc0[\\xac\\xa8\\xc14\\xe8@@\\x81sF\\x94\\xf6\\x86]\\xc0\\xbc?\\xde\\xabV\\xe8@@{\\xe3\\xa40\\xef\\x86]\\xc0\\xea\\xc3z\\xa3V\\xe8@@\\xcbu\\xe1\\x07\\xe7\\x86]\\xc0\\xcb\\xaa\\xcf\\xd5V\\xe8@@\\t6\\xae\\x7f\\xd7\\x86]\\xc0-\\xb3\\x08\\xc5V\\xe8@@\\x04\\x90\\xda\\xc4\\xc9\\x86]\\xc0\\xaa\\xd4\\xec\\x81V\\xe8@@\\xbe\\xfax\\xe8\\xbb\\x86]\\xc0\\x08\\xdd%qV\\xe8@@\\x04\\x98\\xc0\\xad\\xbb\\x86]\\xc0T.T\\xfe\\xb5\\xe8@@:\\x1c]\\xa5\\xbb\\x86]\\xc0&\\xb09\\x07\\xcf\\xe8@@m\\xec\\xa0\\x12\\xd7\\x86]\\xc0\\xb5<\\x0f\\xee\\xce\\xe8@@}\\xd5X\\xc2\\xda\\x8...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00o\\x00\\x00\\x00\"\\x19\\x00\\xaa\\xb8\\x9c]\\xc0\\xe8\\'\\x9c\\xddZ\\x1cA@<[\\xce\\xa5\\xb8\\x9c]\\xc0x\\xef\\xa81!\\x1cA@S\\x9d\\x9c\\xa1\\xb8\\x9c]\\xc0\\x12\\x99\\xb9\\xc0\\xe5\\x1bA@S\\x9d\\x9c\\xa1\\xb8\\x9c]\\xc0\\x17c`\\x1d\\xc7\\x1bA@S\\x9d\\x9c\\xa1\\xb8\\x9c]\\xc0\\xfd\\x81r\\xdb\\xbe\\x1bA@\\x9b\\xa6\\xcf\\x0e\\xb8\\x9c]\\xc0\\xf6\\xf8\\x84\\xec\\xbc\\x1bA@\\xc0\\x96W\\xae\\xb7\\x9c]\\xc0\\x04\\xdb\\x88\\'\\xbb\\x1bA@\\x95\\xc0tZ\\xb7\\x9c]\\xc0\\x8a!9\\x99\\xb8\\x1bA@\\xfc\\xc8\\xadI\\xb7\\x9c]\\xc0\\xdd\\xe3L\\x13\\xb6\\x1bA@$MJA\\xb7\\x9c]\\xc0{\\x97R\\x97\\x8c\\x1bA@$MJA\\xb7\\x9c]\\xc0\\x16\\xab\\x06an\\x1bA@C\\x8f\\x18=\\xb7\\x9c]\\xc0\\xe7\\xbc\\xc6.Q\\x1bA@Z\\xd1\\xe68\\xb7\\x9c]\\xc0C\\xc8y\\xff\\x1f\\x1bA@Z\\xd1\\xe68\\xb7\\x9c]\\xc0\\x17HP\\xfc\\x18\\x1bA@\\xa8\\xe9\\xb3\\x03\\xae\\x9c]\\xc0\\xdc\\xb1\\xd8&\\x15\\x1bA@\\xce\\x97\\xa5\\x9d\\x9a\\x9c]\\xc0u3\\xa3\\x1f\\r\\x1bA@\\xe9d\\xa9\\xf5~\\x9c]\\xc0s\\xe2r\\xbc\\x02\\x1bA@A\\x9e\\xeb\\xfbp\\x9c]\\xc0\\x18\\xaab*\\xfd\\x1aA@\\xf1\\xe9x\\xcc@\\x9c]\\xc0*s\\xf3\\x8d\\xe8\\x1aA@\\xcf^D\\xdb1\\x9c]\\xc0n2\\xaa\\x0c\\xe3\\x1aA@),\\x7f\\xbe-\\x9c]\\xc0\\xbb\\x03<i\\xe1..."]
area_land_meters: NUMBER | Current land area | eg=[341343, 980312]
blockgroup_ce: TEXT | Current block group number | eg=["3"]
tract_ce: TEXT | Current Census tract code | eg=["574000", "120300"]

## GEO_CENSUS_BLOCKGROUPS.BLOCKGROUPS_21
lsad_name: TEXT | Current translated legal/statistical area description and the block group number | eg=["Block Group 1"]
area_water_meters: NUMBER | Current water area | eg=[255690, 2375833]
geo_id: TEXT | Unique identifier for each block group. Census block group identifier; a concatenation of the current state FIPS code, county FIPS code, census tract code, and block group number. | eg=["210039201001", "210619203001"]
area_land_meters: NUMBER | Current land area | eg=[95936888, 36111740]
county_fips_code: TEXT | Four-digit county FIPS code. County names and their corresponding FIPS codes can be found in BigQuery: `bigquery-public-data.census_utility.fips_codes_all` | eg=["003", "061"]
internal_point_geom: BINARY | Geographical representation of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00> u\\xe0\\xc1\\x8dU\\xc0Z\\x07Q\\x08.mB@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00]\\xe5d=\\x10\\x8dU\\xc0\\xc2\\xddY\\xbb\\xed\\xa2B@')"]
functional_status: TEXT | Current functional status | eg=["S"]
internal_point_lon: FLOAT | Longitude of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=[-86.2149583, -86.2041162]
blockgroup_ce: TEXT | Current block group number | eg=["1"]
internal_point_lat: FLOAT | Latitude of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=[36.8529673, 37.27288]
tract_ce: TEXT | Current Census tract code | eg=["920100", "920300"]
state_fips_code: TEXT | Two digit FIPS code that uniquely identifies each state. See https://www.census.gov/geo/reference/ansi_statetables.html for more information State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: `bigquery-public-data.census_utility.fips_codes_states` | eg=["21"]
mtfcc_feature_class_code: TEXT | MAF/TIGER feature class code (G5030) | eg=["G5030"]
blockgroup_geom: BINARY | Geographical representation of the polygon that defines the perimeter of the block group. This column should be used as the GEO column for visualization in BigQuery Geo Viz | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xce\\x07\\x00\\x00\\xcdZ\\nH\\xfb\\x92U\\xc0\\x11o\\x9d\\x7f\\xbblB@\\xd7\\xd4yT\\xfc\\x92U\\xc05\\xad\\x14\\x02\\xb9lB@,\\xb12\\x1a\\xf9\\x92U\\xc0\\xf8Ye\\xa6\\xb4lB@Q\\xbb_\\x05\\xf8\\x92U\\xc0\\x04<i\\xe1\\xb2lB@\\x89d\\xc8\\xb1\\xf5\\x92U\\xc0d\\xe0\\x80\\x96\\xaelB@\\x12h\\xb0\\xa9\\xf3\\x92U\\xc0\\xe3\\x9dC\\x19\\xaalB@H\\xdd\\xce\\xbe\\xf2\\x92U\\xc0\\x97h\\x90\\x82\\xa7lB@H\\xf7s\\n\\xf2\\x92U\\xc0\\x87e3\\x87\\xa4lB@~R\\xed\\xd3\\xf1\\x92U\\xc0F\\xaa\\xef\\xfc\\xa2lB@\\xc6\\x18X\\xc7\\xf1\\x92U\\xc04sHj\\xa1lB@f\\x10\\x1f\\xd8\\xf1\\x92U\\xc0r\\r34\\x9elB@5X8I\\xf3\\x92U\\xc0\\x92\\xa5\\xd6\\xfb\\x8dlB@\\xe2\\xe3\\x13\\xb2\\xf3\\x92U\\xc0Zw\\xf3T\\x87lB@k\\x99\\x0c\\xc7\\xf3\\x92U\\xc0\\xe5\\xae%\\xe4\\x83lB@\\xb3_w\\xba\\xf3\\x92U\\xc0p\\xe6Ws\\x80lB@\\x8a\\xb2\\xb7\\x94\\xf3\\x92U\\xc0\\x9c\\x15Q\\x13}lB@\\x06\\xd4\\x9bQ\\xf3\\x92U\\xc0g<\\x11\\xc4ylB@\\x84)\\xca\\xa5\\xf1\\x92U\\xc0@\\xf4\\xa4LjlB@\\xe9\\x08\\xe0f\\xf1\\x92U\\xc0\\x14@1\\xb2dlB@\\x01K\\xaeb\\xf1\\x92U\\xc0-8\\x83\\xbf_lB@\\xe31\\x03\\x95\\xf1\\x92U\\xc0\\xac\\xf5EB[lB@\\xddZ&\\xc3\\xf1\\x92U\\xc0I\\x98i\\xfbWlB@0\\xcfJZ\\xf1\\x92U\\xc0\\xeb\\x8f0...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\x1d\\x03\\x00\\x00\\xc0=\\xcf\\x9f6\\x90U\\xc0\\x9d\\xb6F\\x04\\xe3\\xa2B@\\x12~\\xa9\\x9f7\\x90U\\xc0j\\xc0 \\xe9\\xd3\\xa2B@\\x01*\\x1cA*\\x90U\\xc0^\\xbb\\xb4\\xe1\\xb0\\xa2B@F\\xe9\\xd2\\xbf$\\x90U\\xc0\\xc6\\x9b\\xfc\\x16\\x9d\\xa2B@\\xa5\\x866\\x00\\x1b\\x90U\\xc0\\xc1p\\xaea\\x86\\xa2B@\\x15u\\xe6\\x1e\\x12\\x90U\\xc0\\x02Z\\xba\\x82m\\xa2B@=\\xd1u\\xe1\\x07\\x90U\\xc0\\xa6bc^G\\xa2B@\\xb0\\xe0~\\xc0\\x03\\x90U\\xc0\\x9dJ\\x06\\x80*\\xa2B@\\x80\\x90,`\\x02\\x90U\\xc0R\\x15S\\xe9\\'\\xa2B@;\\xb0\\x1c!\\x03\\x90U\\xc0>Y1\\\\\\x1d\\xa2B@\\xc3\\x99_\\xcd\\x01\\x90U\\xc0\\x04r\\x89#\\x0f\\xa2B@{\\xd3\\xf4\\xd9\\x01\\x90U\\xc0#\\xbf~\\x88\\r\\xa2B@\\xb5\\x18<L\\xfb\\x8fU\\xc0\\x01a\\xa7X5\\xa2B@\\x87\\x03!Y\\xc0\\x8fU\\xc0GN&n\\x15\\xa2B@\\xfb\\x94c\\xb2\\xb8\\x8fU\\xc0\\x1bfh<\\x11\\xa2B@\\x04S\\xcd\\xac\\xa5\\x8fU\\xc0\\xcd\\xfcj\\x0e\\x10\\xa2B@~\\x1c\\xcd\\x91\\x95\\x8fU\\xc0{\\'f\\xbd\\x18\\xa2B@\\xbc\\xd0\\\\\\xa7\\x91\\x8fU\\xc0o\\x05\\x14\\xea\\xe9\\xa1B@[&\\xc3\\xf1|\\x8fU\\xc0\\x9c4\\r\\x8a\\xe6\\xa1B@\\x16G\\xe5&j\\x8fU\\xc0\\x15\\x00\\xe3\\x194\\xa2B@n\\xc2\\xbd2o\\x8fU\\xc0\\xd8\\xcd\\x8c~4\\xa2B@\\x868\\xd6\\xc5m\\x8fU\\x..."]

## GEO_CENSUS_BLOCKGROUPS.BLOCKGROUPS_60
lsad_name: TEXT | Current translated legal/statistical area description and the block group number | eg=["Block Group 1"]
blockgroup_geom: BINARY | Geographical representation of the polygon that defines the perimeter of the block group. This column should be used as the GEO column for visualization in BigQuery Geo Viz | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00A\\x00\\x00\\x00W\\xcfI\\xef\\x9bRe\\xc0\\xfa=\\xb1N\\x95\\x87,\\xc0\\xcd\\x06`\\x03\\xa2Re\\xc0P\\xa8\\xa7\\x8f\\xc0\\x87,\\xc0&\\xcd\\xe6q\\x98Re\\xc0T\\x14vQ\\xf4\\x88,\\xc0\\x03\\xb8 [\\x96Re\\xc0n\\x86\\xe2\\x8e7\\x89,\\xc0\\xbds\\xef\\xe1\\x92Re\\xc0\\xed\\x99\\xec\\x9f\\xa7\\x89,\\xc0\\x02\\xc0x\\x06\\x8dRe\\xc0,Y\\xdc\\x7fd\\x8a,\\xc0\\x19:vP\\x89Re\\xc0\\xc6\\x90\\x9cL\\xdc\\x8a,\\xc0\\x97 \\xea>\\x80Re\\xc0\\x1d\\xed\\xb8\\xe1w\\x8b,\\xc0\\x0f\\x12i\\x1b\\x7fRe\\xc0\\xe3\\xc4W;\\x8a\\x8b,\\xc0\\xb6\\xbf\\xb3=zRe\\xc0\\xfd\\x10\\xe2\\xca\\xd9\\x8b,\\xc0\\rsI\\xd5vRe\\xc0b\\xcfej\\x12\\x8c,\\xc0g\\xbeJ>vRe\\xc0\\x8d\\xe7\\xfa>\\x1c\\x8c,\\xc0\\xee\\xb6\\x0b\\xcduRe\\xc0\\xe3=\\x07\\x96#\\x8c,\\xc0\\x85d\\xc8\\xb1uRe\\xc01d<J%\\x8c,\\xc0\\x7f\\x1a\\xbe\\x85uRe\\xc0\\x15\\xe3\\xfcM(\\x8c,\\xc0\\x0e\\xa7\\x93luRe\\xc0b\\t2\\x02*\\x8c,\\xc0>\\xb8\\x02\\nuRe\\xc0o\\xb3x\\xb10\\x8c,\\xc0\\xa3\\xb1\\xbd\\x16tRe\\xc0\\\\\\x86\\xc6\\x13A\\x8c,\\xc0<\\x15p\\xcfsRe\\xc0\\x95\\xe8\\xf3QF\\x8c,\\xc0\\xf5\\xdb\\xd7\\x81sRe\\xc0:RD\\x86U\\x8c,\\xc0!\\xedF\\x1fsRe\\xc0x\\xd1W\\x90f\\x8c,\\xc0\\xb9\\xc7\\x99&lRe\\xc0\\x1b\\xcdX4\\x9d\\x8d,\\x...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00E\\x00\\x00\\x00\\x8b\\xaa&\\x88:7e\\xc0\\xf8u\\xe0\\x9c\\x11U,\\xc0f1\\xb1\\xf987e\\xc0XN\\t\\x88IX,\\xc0\\x1eQ\\xa1\\xba97e\\xc0\\xbc\\xfb\\xaa\\\\\\xa8\\\\,\\xc0]\\xad\\xda5!7e\\xc0\\xdc\\xaf\\xc9\\x1a\\xf5`,\\xc0\\x04AG\\xab\\xda6e\\xc0\\xb9t\\xccy\\xc6f,\\xc0\\x12\\xffwD\\x856e\\xc0\\xcdX\\xfb;\\xdbk,\\xc0\\x87\\xab\\xca\\xbe+6e\\xc0SSY\\x14vq,\\xc0\\x92\\xb8\\x8eq\\xc55e\\xc0\\x80\\x1c[\\xcf\\x10v,\\xc0\\xf3>U\\x85\\x865e\\xc0vds\\xd5<w,\\xc0 -\\x95\\xb7#5e\\xc0\\xf4\\xd7+,\\xb8w,\\xc0\\x13N\\xd2\\xfc\\xb14e\\xc0\\xfc\\xbb\\x05\\x12\\x14w,\\xc0#e\\x8b\\xa4]4e\\xc0\\xde\\x823\\xf8\\xfbu,\\xc0/\\xfd\\x12\\xf1V4e\\xc0\\xe2\\xde\\xc3%\\xc7u,\\xc0\\x15\\xc4@\\xd7>4e\\xc055\\x97\\x1b\\x0cu,\\xc0})\\x03\\x0744e\\xc0&3\\xa5\\xf5\\xb7t,\\xc0J}Y\\xda)4e\\xc0\\xe8\\xd9\\xac\\xfa\\\\u,\\xc0\\x89G\\xa9\\x84\\'4e\\xc0\\x00\\xe2u\\xfd\\x82u,\\xc0\\xfe\\xa1`\\xc6\\x144e\\xc0\\xb2+-#\\xf5v,\\xc085\\x97\\x1b\\x0c4e\\xc0\\xcc\\xd7e\\xf8Ow,\\xc0\\x00\\x00\\x00\\x00\\x004e\\xc0\\xa9e2\\x1c\\xcfw,\\xc0\\x00\\x00\\x00\\x00\\x004e\\xc0\\xdek\\xcf,\\tx,\\xc0\\xaa\\x0e\\xb9\\x19\\xee3e\\xc0\\xc6\\r\\x86:\\xacx,\\xc0\\x05\\xaf\\x96;\\xb33e\\xc0\\r%!\\x91..."]
mtfcc_feature_class_code: TEXT | MAF/TIGER feature class code (G5030) | eg=["G5030"]
county_fips_code: TEXT | Four-digit county FIPS code. County names and their corresponding FIPS codes can be found in BigQuery: `bigquery-public-data.census_utility.fips_codes_all` | eg=["010", "020"]
area_water_meters: NUMBER | Current water area | eg=[7577980, 198623025]
tract_ce: TEXT | Current Census tract code | eg=["950200", "951800"]
area_land_meters: NUMBER | Current land area | eg=[2663476, 12488754]
internal_point_lat: FLOAT | Latitude of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=[-14.2859572, -14.1760952]
blockgroup_ce: TEXT | Current block group number | eg=["1"]
state_fips_code: TEXT | Two digit FIPS code that uniquely identifies each state. See https://www.census.gov/geo/reference/ansi_statetables.html for more information State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: `bigquery-public-data.census_utility.fips_codes_states` | eg=["60"]
internal_point_geom: BINARY | Geographical representation of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00V\\x1e\\xee4\\xe3Qe\\xc0\\x89\\x1cl\\xfbh\\x92,\\xc0')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xf9\\xf6\\xaeA\\xdf4e\\xc0\\x14\\xf7i&)Z,\\xc0')"]
geo_id: TEXT | Unique identifier for each block group. Census block group identifier; a concatenation of the current state FIPS code, county FIPS code, census tract code, and block group number. | eg=["600109502001", "600209518001"]
functional_status: TEXT | Current functional status | eg=["S"]
internal_point_lon: FLOAT | Longitude of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=[-170.5589852, -169.652253]

## GEO_CENSUS_BLOCKGROUPS.BLOCKGROUPS_16
area_water_meters: NUMBER | Current water area | eg=[11548054, 2476453]
functional_status: TEXT | Current functional status | eg=["S"]
blockgroup_geom: BINARY | Geographical representation of the polygon that defines the perimeter of the block group. This column should be used as the GEO column for visualization in BigQuery Geo Viz | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xd9\\t\\x00\\x00*Wx\\x97\\x8b\\xc5\\\\\\xc0\\xacL\\xf8\\xa5~\\xaaE@eF\\x06\\xb9\\x8b\\xc5\\\\\\xc0?\\xab\\xcc\\x94\\xd6\\xa9E@\\x88_\\xb1\\x86\\x8b\\xc5\\\\\\xc0\\xd4\\xae\\ti\\x8d\\xa9E@\\x8f6\\x8eX\\x8b\\xc5\\\\\\xc0%n\\x15\\xc4@\\xa9E@\\x1e\\xc3c?\\x8b\\xc5\\\\\\xc0I8\\xf4\\x16\\x0f\\xa9E@T\\x1e\\xdd\\x08\\x8b\\xc5\\\\\\xc0\\xeb\\x13@1\\xb2\\xa8E@\\x0b/O\\xe7\\x8a\\xc5\\\\\\xc0\\xf0\\x864*p\\xa8E@r7\\x88\\xd6\\x8a\\xc5\\\\\\xc0\\xee\\x18\\x1e\\xfbY\\xa8E@\\xd2?\\xc1\\xc5\\x8a\\xc5\\\\\\xc0\\x9d3\\xa2\\xb47\\xa8E@r7\\x88\\xd6\\x8a\\xc5\\\\\\xc0y\\xa8m\\xc3(\\xa8E@*b\\x9f\\x00\\x8a\\xc5\\\\\\xc0\\xf4c\\x93\\xfc\\x88\\xa7E@x\\x19\\x8c\\x11\\x89\\xc5\\\\\\xc0\\xaau\\xe2r\\xbc\\xa6E@\\x83\\xc7E\\xb5\\x88\\xc5\\\\\\xc0\\x99\\xd7\\x11\\x87l\\xa6E@\\x83\\xc7E\\xb5\\x88\\xc5\\\\\\xc0@\\xc0Z\\xb5k\\xa6E@\\xaf\\x83\\x83\\xbd\\x89\\xc5\\\\\\xc0\\x8e\\xf3\\xfe?N\\xa6E@\\xd2s\\x0b]\\x89\\xc5\\\\\\xc0\\xa9\\xca\\xbe+\\x82\\xa5E@Z\\x00\\xe1C\\x89\\xc5\\\\\\xc0\\xb4\\x92V|C\\xa5E@\\x8f[Z\\r\\x89\\xc5\\\\\\xc0\\x1a\\xef\\x8e\\x8c\\xd5\\xa4E@%\\xbf\\x0c\\xc6\\x88\\xc5\\\\\\xc0\\xb1\\xf2\\xcb`\\x8c\\xa4E@%\\xbf\\x0c\\xc6\\x88\\xc5\\\\\\xc0\\xebNw\\x9ex\\xa4E@%\\xbf\\x0c\\xc6\\x88\\xc5\\\\...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00(\\x10\\x00\\x00\\xb0\\xad\\x9f\\xfe\\xb3?\\\\\\xc0\\x9f3iSu\\tF@y)\\x03\\x07\\xb4?\\\\\\xc0\\x13Z\\xd6\\xfdc\\tF@\\x97B\\xae\\xd4\\xb3?\\\\\\xc0\\xe2\\x80]M\\x9e\\x08F@\\xc8\\t\\x13F\\xb3?\\\\\\xc0\\xb0\\x9b\\x19\\xfdh\\x08F@\\xaa\\x154-\\xb1?\\\\\\xc0w|{\\xd7\\xa0\\x07F@\\x84\\x10\\x90/\\xa1?\\\\\\xc0\\xbak\\t\\xf9\\xa0\\x07F@\\xeei\\x15\\xfd\\xa1?\\\\\\xc0\\x9eW<\\xf5H\\x07F@\\x95G7\\xc2\\xa2?\\\\\\xc0\\x81\\xdb\\xda\\xc2\\xf3\\x06F@\\xd8Pj/\\xa2?\\\\\\xc0\\xfa\\xfb\\x8c\\x0b\\x07\\x06F@\\x83\\xc2\\xa0L\\xa3?\\\\\\xc0\\xba\\'\\x0f\\x0b\\xb5\\x04F@\\x94\\x04oH\\xa3?\\\\\\xc0F%u\\x02\\x9a\\x04F@R\\x15\\xe1&\\xa3?\\\\\\xc0\"\\xf43\\xf5\\xba\\x03F@\\xb1\\x1d\\x1a\\x16\\xa3?\\\\\\xc0X0\\xf1GQ\\x03F@0h!\\x01\\xa3?\\\\\\xc0-\\tPS\\xcb\\x02F@\\x9f\\x98\\x83\\xa0\\xa3?\\\\\\xc0\\xea\\xe26\\x1a\\xc0\\x01F@\\xab,\\x98\\xf8\\xa3?\\\\\\xc0kxz\\xa5,\\x01F@\\xe2\\xb04\\xf0\\xa3?\\\\\\xc0Q0c\\n\\xd6\\x00F@\\n5\\xd1\\xe7\\xa3?\\\\\\xc0\\xdb\\'G\\x01\\xa2\\x00F@\"w\\x9f\\xe3\\xa3?\\\\\\xc0\\x93e\\x88c]\\x00F@\\n5\\xd1\\xe7\\xa3?\\\\\\xc0J\\xcc\\xb3\\x92V\\x00F@\\xfe\\x86\\x17D\\xa4?\\\\\\xc0\\xd16\\xfeDe\\xffE@{\\xa8\\xfb\\x00\\xa4?\\\\\\xc0_\\x1b\\xf1d7\\xffE@\\x89\\x99}\\x1e\\xa3?\\\\\\..."]
mtfcc_feature_class_code: TEXT | MAF/TIGER feature class code (G5030) | eg=["G5030"]
county_fips_code: TEXT | Four-digit county FIPS code. County names and their corresponding FIPS codes can be found in BigQuery: `bigquery-public-data.census_utility.fips_codes_all` | eg=["025", "033"]
area_land_meters: NUMBER | Current land area | eg=[2782253889, 4566524478]
